order,K,comparison,metric,n,mean,ci_lo,ci_hi,p_value,q_value,fdr_significant
main,2,ours-replay,Jaccard,5,0.015393333333333328,-0.0010533333333333339,0.034839999999999996,0.3125,0.625,False
main,2,ours-replay,action-KL,5,0.026940000000000002,0.021493333333333337,0.03216,0.0625,0.1875,False
main,4,ours-replay,AA,5,0.011905000000000054,-0.00237999999999996,0.02522000000000013,0.25,0.5555555555555556,False
main,4,ours-replay,Forgetting,5,0.01552,0.006060000000000006,0.026706666666666646,0.0625,0.1875,False
main,4,ours-replay,BWT,5,0.011320000000000002,-0.011493333333333326,0.032373333333333316,0.4375,0.7394366197183099,False
main,4,ours-replay,Jaccard,5,0.00806666666666667,-0.029000000000000005,0.03914666666666668,0.75,0.8823529411764706,False
main,4,ours-replay,action-KL,5,0.017793333333333335,0.014573333333333332,0.020873333333333334,0.0625,0.1875,False
main,1,distill-replay,AA,5,-0.0008699999999999708,-0.011849999999999939,0.012014999999999998,0.875,0.9292035398230089,False
main,1,distill-replay,Forgetting,5,0.001373333333333331,-0.005100000000000015,0.006673333333333332,0.625,0.7978723404255319,False
main,1,distill-replay,BWT,5,0.0033333333333333283,-0.008966666666666687,0.015633333333333343,0.6875,0.8418367346938775,False
main,1,distill-replay,Jaccard,5,0.11618666666666669,0.08442666666666672,0.14794666666666664,0.0625,0.1875,False
main,1,distill-replay,action-KL,5,0.04533999999999999,0.037,0.053026666666666666,0.0625,0.1875,False
main,2,distill-replay,AA,5,0.003980000000000072,-0.0036599999999998413,0.011619999999999986,0.4375,0.7394366197183099,False
main,2,distill-replay,Forgetting,5,0.00414666666666666,-0.006906666666666663,0.015199999999999983,0.625,0.7978723404255319,False
main,2,distill-replay,BWT,5,0.007506666666666668,-0.008419999999999999,0.023433333333333334,0.5,0.759493670886076,False
main,2,distill-replay,Jaccard,5,0.052193333333333335,0.03450666666666667,0.07116666666666668,0.0625,0.1875,False
main,2,distill-replay,action-KL,5,0.03492000000000001,0.028813333333333337,0.04234666666666667,0.0625,0.1875,False
main,4,distill-replay,AA,5,0.010075000000000056,-0.009879999999999955,0.029735000000000046,0.4375,0.7394366197183099,False
main,4,distill-replay,Forgetting,5,0.004360000000000016,-0.02127333333333333,0.027446666666666685,0.6875,0.8418367346938775,False
main,4,distill-replay,BWT,5,0.001253333333333365,-0.02701999999999997,0.0295266666666667,0.9375,0.9782608695652174,False
main,4,distill-replay,Jaccard,5,0.03148666666666668,-0.019046666666666667,0.08469333333333336,0.3125,0.625,False
main,4,distill-replay,action-KL,5,0.02382,0.019680000000000003,0.02757333333333333,0.0625,0.1875,False
main,1,ours-ours_uniform,AA,5,-0.015830000000000056,-0.02030000000000003,-0.011360000000000082,0.0625,0.1875,False
main,1,ours-ours_uniform,Forgetting,5,0.0007599999999999965,-0.010080000000000002,0.015173333333333339,1.0,1.0,False
main,1,ours-ours_uniform,BWT,5,-0.009620000000000012,-0.02136000000000003,0.000940000000000001,0.3125,0.625,False
main,1,ours-ours_uniform,Jaccard,5,0.005739999999999995,-0.01962666666666666,0.02590666666666665,0.75,0.8823529411764706,False
main,1,ours-ours_uniform,action-KL,5,-0.0013200000000000058,-0.0037933333333333456,0.00040000000000000175,0.3125,0.625,False
main,2,ours-ours_uniform,AA,5,0.009885000000000055,-0.005449999999999955,0.025220000000000065,0.4375,0.7394366197183099,False
main,2,ours-ours_uniform,Forgetting,5,0.022873333333333336,0.004166666666666668,0.04158000000000001,0.25,0.5555555555555556,False
