order,setting_key,setting_label,K,task,A_t_t,std,n,raw_acc
reverse,replay,counterfactual-teacher replay,2,lung,0.85244,0.03201113868640102,5,0.85052
reverse,replay,counterfactual-teacher replay,2,rcc,0.9688800000000001,0.012500879969026211,5,0.9684000000000001
reverse,seqft,sequential fine-tuning,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,seqft,sequential fine-tuning,2,esca,0.9107200000000001,0.03680478229795687,5,0.9066600000000001
reverse,seqft,sequential fine-tuning,2,lung,0.8648199999999999,0.010556609304127908,5,0.86316
reverse,seqft,sequential fine-tuning,2,rcc,0.9688800000000001,0.01688392726826317,5,0.9684200000000001
reverse,distill,old-policy / policy-fidelity distillation,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,distill,old-policy / policy-fidelity distillation,4,esca,0.95,0.027950849718747377,5,0.94664
reverse,distill,old-policy / policy-fidelity distillation,4,lung,0.8525600000000001,0.011137459315301725,5,0.85054
reverse,distill,old-policy / policy-fidelity distillation,4,rcc,0.9277599999999999,0.04777649003432544,5,0.93686
reverse,ewc,EWC parameter regularization,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,ewc,EWC parameter regularization,4,esca,0.92142,0.07588449775810603,5,0.91998
reverse,ewc,EWC parameter regularization,4,lung,0.8356999999999999,0.02501549519797682,5,0.83368
reverse,ewc,EWC parameter regularization,4,rcc,0.9422,0.024034142381204295,5,0.94474
reverse,joint,joint-training reference,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,joint,joint-training reference,4,esca,0.90894,0.039107390605868896,5,0.9066600000000001
reverse,joint,joint-training reference,4,lung,0.8463200000000001,0.023876180599082423,5,0.8442000000000001
reverse,joint,joint-training reference,4,rcc,0.9446,0.03373751620970334,5,0.95
reverse,lwf,new-state old-policy distillation,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,lwf,new-state old-policy distillation,4,esca,0.90894,0.035373196067078796,5,0.9066600000000001
reverse,lwf,new-state old-policy distillation,4,lung,0.8411199999999999,0.027177325107523014,5,0.83788
reverse,lwf,new-state old-policy distillation,4,rcc,0.95814,0.021918553784408306,5,0.9631399999999999
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,esca,0.9625,0.03423265984407289,5,0.95998
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,lung,0.84766,0.011947928690781491,5,0.8463200000000001
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,rcc,0.9266,0.01450430970436025,5,0.92896
reverse,replay,counterfactual-teacher replay,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,replay,counterfactual-teacher replay,4,esca,0.92322,0.03193105071869701,5,0.91998
reverse,replay,counterfactual-teacher replay,4,lung,0.8475400000000001,0.016734634743549033,5,0.8463200000000001
reverse,replay,counterfactual-teacher replay,4,rcc,0.9527599999999999,0.024193656193308197,5,0.96052
reverse,seqft,sequential fine-tuning,4,brca,0.86486,0.08167917727303572,5,0.9032199999999999
reverse,seqft,sequential fine-tuning,4,esca,0.8964399999999999,0.037658173083674716,5,0.89334
reverse,seqft,sequential fine-tuning,4,lung,0.8275399999999999,0.03399938234733098,5,0.82528
reverse,seqft,sequential fine-tuning,4,rcc,0.9503599999999999,0.02081497057408444,5,0.95526
