method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
distill,1,2,4,esca,1,0.9375,0.9333,0.1333,0.0307,0.2426,0.8464,15,327.4,can,main
distill,1,2,4,lung,2,0.8334,0.8316,0.186,0.0219,0.0454,0.7828,95,328.6,can,main
distill,1,2,4,rcc,3,0.9713,0.9737,0.1842,0.0157,0.4043,0.8859,76,329.6,can,main
distill,1,2,4,brca,4,0.9271,0.9462,1.0,-0.0,0.1783,0.7008,93,330.8,can,main
distill,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,21.4,can,main
distill,1,4,2,esca,1,0.9375,0.9333,0.266,0.0017,-0.0981,0.8857,15,232.6,can,main
distill,1,4,2,lung,2,0.8429,0.8421,1.0,-0.0,0.0437,0.8484,95,235.0,can,main
distill,1,4,3,esca,1,0.8661,0.8667,0.2229,0.0029,-0.1274,0.8857,15,403.8,can,main
distill,1,4,3,lung,2,0.8525,0.8526,0.2237,0.0015,0.0273,0.8484,95,406.2,can,main
distill,1,4,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.1834,0.9261,76,408.1,can,main
distill,1,4,4,esca,1,0.9375,0.9333,0.1333,0.0049,-0.0571,0.8857,15,618.2,can,main
distill,1,4,4,lung,2,0.8647,0.8632,0.1583,0.0047,0.0031,0.8484,95,620.5,can,main
distill,1,4,4,rcc,3,0.9713,0.9737,0.2886,0.0023,0.2042,0.9261,76,622.5,can,main
distill,1,4,4,brca,4,0.894,0.9247,1.0,-0.0,0.0733,0.7939,93,624.7,can,main
ours,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.6,can,main
ours,1,1,2,esca,1,0.9375,0.9333,0.2667,0.0482,-0.18,0.8018,15,74.1,can,main
ours,1,1,2,lung,2,0.8756,0.8737,1.0,0.0,0.2057,0.771,95,74.8,can,main
ours,1,1,3,esca,1,0.8125,0.8,0.0667,0.0658,0.1013,0.8018,15,126.0,can,main
ours,1,1,3,lung,2,0.866,0.8632,0.3684,0.0489,0.0992,0.771,95,126.7,can,main
ours,1,1,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.8465,0.9035,76,127.2,can,main
ours,1,1,4,esca,1,0.9375,0.9333,0.2,0.112,0.6276,0.8018,15,189.9,can,main
ours,1,1,4,lung,2,0.8048,0.8,0.2632,0.0784,-0.0851,0.771,95,190.6,can,main
ours,1,1,4,rcc,3,0.9509,0.9474,0.2632,0.0318,0.8934,0.9035,76,191.1,can,main
ours,1,1,4,brca,4,0.8023,0.9032,1.0,0.0,0.1988,0.68,93,191.7,can,main
ours,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,12.0,can,main
ours,1,2,2,esca,1,0.8661,0.8667,0.1778,0.0156,-0.0146,0.8464,15,134.3,can,main
ours,1,2,2,lung,2,0.8545,0.8526,1.0,-0.0,0.0484,0.7828,95,135.6,can,main
ours,1,2,3,esca,1,0.9375,0.9333,0.1111,0.0227,-0.0316,0.8464,15,227.6,can,main
ours,1,2,3,lung,2,0.8041,0.8,0.1965,0.035,0.0056,0.7828,95,228.8,can,main
ours,1,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.4104,0.8859,76,229.7,can,main
ours,1,2,4,esca,1,0.8661,0.8667,0.0667,0.0459,0.0578,0.8464,15,345.1,can,main
ours,1,2,4,lung,2,0.8252,0.8211,0.2035,0.0443,0.017,0.7828,95,346.4,can,main
ours,1,2,4,rcc,3,0.9611,0.9605,0.1623,0.021,0.3714,0.8859,76,347.5,can,main
ours,1,2,4,brca,4,0.894,0.9247,1.0,0.0,0.1465,0.7008,93,348.7,can,main
ours,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,22.0,can,main
ours,1,4,2,esca,1,0.8661,0.8667,0.0571,0.0035,-0.0442,0.8857,15,250.1,can,main
ours,1,4,2,lung,2,0.8749,0.8737,1.0,-0.0,0.0352,0.8484,95,252.4,can,main
ours,1,4,3,esca,1,0.9375,0.9333,0.2844,0.0083,-0.0313,0.8857,15,434.2,can,main
ours,1,4,3,lung,2,0.8545,0.8526,0.1394,0.006,0.0213,0.8484,95,436.7,can,main
ours,1,4,3,rcc,3,0.8972,0.9211,1.0,-0.0,0.208,0.9261,76,438.7,can,main
ours,1,4,4,esca,1,0.8661,0.8667,0.1194,0.0124,-0.0079,0.8857,15,653.7,can,main
ours,1,4,4,lung,2,0.8762,0.8737,0.1267,0.0135,0.018,0.8484,95,655.9,can,main
ours,1,4,4,rcc,3,0.9528,0.9605,0.1536,0.0058,0.2107,0.9261,76,657.7,can,main
ours,1,4,4,brca,4,0.8805,0.9032,1.0,-0.0,0.0702,0.7939,93,659.9,can,main
joint,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.0,can,main
joint,1,1,2,esca,1,0.9375,0.9333,0.2667,0.107,-0.2703,0.8018,15,48.0,can,main
joint,1,1,2,lung,2,0.8667,0.8632,1.0,-0.0,0.1258,0.771,95,48.6,can,main
joint,1,1,3,esca,1,0.9375,0.9333,0.2,0.1017,0.6274,0.8018,15,108.0,can,main
joint,1,1,3,lung,2,0.8858,0.8842,0.2737,0.0888,0.2108,0.771,95,108.6,can,main
joint,1,1,3,rcc,3,0.9898,0.9868,1.0,0.0,0.9168,0.8759,76,109.1,can,main
joint,1,1,4,esca,1,0.8661,0.8667,0.2667,0.1544,0.541,0.8018,15,200.5,can,main
joint,1,1,4,lung,2,0.8538,0.8526,0.2421,0.0693,0.1656,0.771,95,201.2,can,main
joint,1,1,4,rcc,3,0.9796,0.9737,0.2237,0.0591,0.9004,0.8759,76,201.8,can,main
