method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
distill,4,2,4,lung,3,0.8423,0.8421,0.214,0.0122,-0.0087,0.8283,95,332.6,can,reverse
distill,4,2,4,esca,4,0.9375,0.9333,1.0,-0.0,-0.0591,0.9107,15,332.8,can,reverse
distill,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,143.4,can,reverse
distill,4,4,2,brca,1,0.8745,0.9247,0.2236,0.0016,0.097,0.7812,93,326.7,can,reverse
distill,4,4,2,rcc,2,0.9138,0.9211,1.0,-0.0,0.1684,0.9289,76,328.9,can,reverse
distill,4,4,3,brca,1,0.9271,0.9462,0.2055,0.0023,0.0673,0.7812,93,565.4,can,reverse
distill,4,4,3,rcc,2,0.9611,0.9605,0.1436,0.001,0.199,0.9289,76,567.5,can,reverse
distill,4,4,3,lung,3,0.8456,0.8421,1.0,-0.0,-0.064,0.8299,95,570.4,can,reverse
distill,4,4,4,brca,1,0.9271,0.9462,0.2144,0.0087,0.0802,0.7812,93,609.8,can,reverse
distill,4,4,4,rcc,2,0.9138,0.9211,0.1846,0.002,0.1929,0.9289,76,611.9,can,reverse
distill,4,4,4,lung,3,0.8225,0.8211,0.1412,0.0023,0.0138,0.8299,95,614.7,can,reverse
distill,4,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.1555,0.8589,15,615.1,can,reverse
ours,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,48.6,can,reverse
ours,4,1,2,brca,1,0.9136,0.9247,0.4301,0.0354,0.328,0.6707,93,112.7,can,reverse
ours,4,1,2,rcc,2,0.9324,0.9342,1.0,-0.0,0.77,0.8948,76,113.5,can,reverse
ours,4,1,3,brca,1,0.9068,0.914,0.2688,0.0946,0.3868,0.6707,93,185.3,can,reverse
ours,4,1,3,rcc,2,0.9796,0.9737,0.2895,0.0303,0.9353,0.8948,76,185.9,can,reverse
ours,4,1,3,lung,3,0.8654,0.8632,1.0,-0.0,0.0978,0.7583,95,186.6,can,reverse
ours,4,1,4,brca,1,0.9068,0.914,0.2473,0.0975,0.3479,0.6707,93,198.3,can,reverse
ours,4,1,4,rcc,2,0.9509,0.9474,0.3289,0.0395,0.7789,0.8948,76,198.9,can,reverse
ours,4,1,4,lung,3,0.8252,0.8211,0.4842,0.0812,0.072,0.7583,95,199.7,can,reverse
ours,4,1,4,esca,4,1.0,1.0,1.0,0.0,0.6803,0.7839,15,199.8,can,reverse
ours,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,78.9,can,reverse
ours,4,2,2,brca,1,0.9331,0.9247,0.2473,0.071,0.1612,0.6993,93,186.8,can,reverse
ours,4,2,2,rcc,2,0.9611,0.9605,1.0,-0.0,0.4258,0.889,76,188.0,can,reverse
ours,4,2,3,brca,1,0.9467,0.9462,0.1434,0.0699,0.1996,0.6993,93,323.4,can,reverse
ours,4,2,3,rcc,2,0.9324,0.9342,0.2412,0.0105,0.3906,0.889,76,324.6,can,reverse
ours,4,2,3,lung,3,0.8327,0.8316,1.0,-0.0,0.084,0.8283,95,326.0,can,reverse
ours,4,2,4,brca,1,0.9399,0.9355,0.1398,0.1302,0.1458,0.6993,93,348.0,can,reverse
ours,4,2,4,rcc,2,0.9509,0.9474,0.1623,0.021,0.4121,0.889,76,349.2,can,reverse
ours,4,2,4,lung,3,0.8545,0.8526,0.1684,0.0241,0.0335,0.8283,95,350.7,can,reverse
ours,4,2,4,esca,4,0.9375,0.9333,1.0,0.0,0.0284,0.9107,15,350.9,can,reverse
ours,4,4,1,brca,1,0.9001,0.9032,1.0,-0.0,0.0586,0.7812,93,150.1,can,reverse
ours,4,4,2,brca,1,0.9008,0.9355,0.16,0.0068,0.0988,0.7812,93,372.3,can,reverse
ours,4,4,2,rcc,2,0.924,0.9342,1.0,-0.0,0.1995,0.9289,76,374.8,can,reverse
ours,4,4,3,brca,1,0.894,0.9247,0.17,0.0222,0.0743,0.7812,93,663.0,can,reverse
ours,4,4,3,rcc,2,0.9157,0.9342,0.3442,0.0024,0.1868,0.9289,76,665.4,can,reverse
ours,4,4,3,lung,3,0.8551,0.8526,1.0,0.0,-0.0059,0.8299,95,668.8,can,reverse
ours,4,4,4,brca,1,0.9001,0.9032,0.1716,0.0249,0.0798,0.7812,93,718.3,can,reverse
ours,4,4,4,rcc,2,0.9342,0.9474,0.1228,0.0034,0.1893,0.9289,76,721.1,can,reverse
ours,4,4,4,lung,3,0.8354,0.8316,0.2671,0.0028,-0.0406,0.8299,95,724.8,can,reverse
ours,4,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.0643,0.8589,15,725.4,can,reverse
joint,4,1,1,brca,1,0.8812,0.9355,1.0,-0.0,0.3174,0.6707,93,50.6,can,reverse
joint,4,1,2,brca,1,0.9008,0.9355,0.3656,0.0462,0.3703,0.6707,93,126.6,can,reverse
joint,4,1,2,rcc,2,0.949,0.9342,1.0,-0.0,0.7064,0.8948,76,127.5,can,reverse
joint,4,1,3,brca,1,0.9203,0.9355,0.2688,0.0598,0.3623,0.6707,93,250.7,can,reverse
joint,4,1,3,rcc,2,0.9611,0.9605,0.2237,0.0331,0.8169,0.8948,76,251.5,can,reverse
joint,4,1,3,lung,3,0.8851,0.8842,1.0,-0.0,0.0316,0.7462,95,252.4,can,reverse
joint,4,1,4,brca,1,0.9399,0.9355,0.2043,0.0995,0.3774,0.6707,93,360.4,can,reverse
joint,4,1,4,rcc,2,0.9305,0.9211,0.25,0.0289,0.7044,0.8948,76,361.5,can,reverse
joint,4,1,4,lung,3,0.8423,0.8421,0.3474,0.0449,0.0865,0.7462,95,362.5,can,reverse
joint,4,1,4,esca,4,1.0,1.0,1.0,0.0,0.6569,0.8125,15,362.6,can,reverse
joint,4,2,1,brca,1,0.7496,0.8817,1.0,0.0,0.0359,0.6993,93,91.2,can,reverse
joint,4,2,2,brca,1,0.6775,0.8602,0.2867,0.0295,0.0352,0.6993,93,230.2,can,reverse
