method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,c0_parameter_budget,dataset,order,c0_role
sp_nav,1,2,3,lung,2,0.8545,0.8526,0.1088,0.123,0.1605,0.5393,0.1525,0.7828,95,142.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.401,0.7708,0.0835,0.8859,76,143.3,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,4,esca,1,0.8571,0.8667,0.0889,0.0557,0.1232,0.7046,0.1219,0.8464,15,212.7,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,4,lung,2,0.7735,0.7684,0.0491,0.2146,0.0681,0.4784,0.1729,0.7828,95,213.8,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,4,rcc,3,0.9509,0.9474,0.1228,0.0472,0.4192,0.7627,0.0852,0.8859,76,214.6,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,4,brca,4,0.9075,0.9462,1.0,-0.0,0.1817,0.6365,0.1237,0.7008,93,215.6,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,1,esca,1,0.9375,0.9333,1.0,-0.0,0.4936,0.7708,0.0946,0.8679,15,6.3,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,2,esca,1,0.8661,0.8667,0.0667,0.1852,0.4012,0.7864,0.0792,0.8679,15,47.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,2,lung,2,0.8756,0.8737,1.0,0.0,0.0511,0.7,0.1264,0.7639,95,47.6,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,3,esca,1,0.9375,0.9333,0.0667,0.1254,0.1309,0.7696,0.09,0.8679,15,78.1,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,3,lung,2,0.8456,0.8421,0.2,0.1696,0.0332,0.6205,0.1521,0.7639,95,78.7,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.8421,0.7992,0.079,0.8511,76,79.1,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,2,1,4,esca,1,0.8036,0.8,0.0667,0.1839,0.0933,0.6715,0.1241,0.8679,15,117.4,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
