method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order,gate_v2_role
ours_uniform,0,4,2,lung,2,0.8239,0.8211,1.0,-0.0,-0.0469,0.635,0.13,0.8236,95,297.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,3,esca,1,0.9375,0.9333,0.1079,0.0145,0.1076,0.7371,0.1097,0.8179,15,511.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,3,lung,2,0.8239,0.8211,0.3095,0.0075,-0.0258,0.6373,0.1301,0.8236,95,513.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,3,rcc,3,0.9426,0.9474,1.0,-0.0,0.1736,0.7631,0.089,0.9355,76,515.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,4,esca,1,1.0,1.0,0.0921,0.0135,0.1641,0.7339,0.1129,0.8179,15,775.7,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,4,lung,2,0.8225,0.8211,0.1354,0.0128,-0.0109,0.6337,0.1311,0.8236,95,777.9,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,4,rcc,3,0.9055,0.9211,0.1305,0.0054,0.1289,0.7634,0.0889,0.9355,76,779.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,4,brca,4,0.8151,0.8925,1.0,-0.0,0.0619,0.6173,0.1262,0.705,93,782.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.6444,0.1442,0.8857,15,27.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,1,4,2,esca,1,0.8661,0.8667,0.1302,0.0049,-0.1431,0.6497,0.1419,0.8857,15,293.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
