method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,dataset,order
distill,2,1,4,brca,4,0.7955,0.8925,1.0,-0.0,0.2731,0.6679,0.1258,0.6575,93,158.6,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.7498,0.1058,0.8393,15,9.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,2,esca,1,0.9375,0.9333,0.3111,0.0111,-0.0423,0.7454,0.1077,0.8393,15,112.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,2,lung,2,0.8762,0.8737,1.0,-0.0,-0.0662,0.6409,0.136,0.7886,95,113.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,3,esca,1,0.9375,0.9333,0.1778,0.0142,-0.2098,0.7494,0.1064,0.8393,15,195.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,3,lung,2,0.8878,0.8842,0.3263,0.0095,-0.025,0.6391,0.1374,0.7886,95,197.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.4163,0.7929,0.081,0.9083,76,197.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,4,esca,1,0.9375,0.9333,0.2222,0.0198,-0.1616,0.7484,0.1074,0.8393,15,300.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,4,lung,2,0.8469,0.8421,0.2,0.0178,-0.0227,0.6365,0.1391,0.7886,95,301.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,4,rcc,3,0.9713,0.9737,0.2325,0.0229,0.4187,0.8066,0.0757,0.9083,76,301.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1743,0.6406,0.121,0.7351,93,303.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
